method,rho,seed,P99_us,P999_us,slo_violation_rate,migration_rate,invalid_migration_ratio,total_finished,total_generated
B1_PowerOf2,0.6,11,106,170,0.007284,0,0,1000000,1200763
B1_PowerOf2,0.6,23,106,172,0.007459,0,0,1000000,1200749
B1_PowerOf2,0.6,37,106,174,0.008068,0,0,1000000,1200809
B1_PowerOf2,0.6,47,106,170,0.007446,0,0,1000000,1200806
B1_PowerOf2,0.6,59,106,172,0.007598,0,0,1000000,1200774
B2_Reactive,0.6,11,106,112,0.000401,0.0118469,0.11536,1000000,1200739
B2_Reactive,0.6,23,106,114,0.000405,0.0113111,0.101016,1000000,1200765
B2_Reactive,0.6,37,106,112,0.000155,0.0119729,0.109627,1000000,1200708
B2_Reactive,0.6,47,106,112,0.000274,0.0118873,0.107538,1000000,1200776
B2_Reactive,0.6,59,106,112,0.000714,0.0119052,0.110318,1000000,1200740
M0_Proactive,0.6,11,106,120,0,0.00816497,0,1000000,1200739
M0_Proactive,0.6,23,106,122,0,0.00848456,0,1000000,1200769
M0_Proactive,0.6,37,106,124,0,0.00871309,0,1000000,1200722
M0_Proactive,0.6,47,106,124,0,0.00864302,0,1000000,1200738
M0_Proactive,0.6,59,106,122,0,0.00861211,0,1000000,1200751
B0_IdealCFCFS,0.65,11,108,198,0.021103,0,0,1000000,1200870
B0_IdealCFCFS,0.65,23,108,198,0.021958,0,0,1000000,1200931
B0_IdealCFCFS,0.65,37,108,198,0.021711,0,0,1000000,1200847
B0_IdealCFCFS,0.65,47,108,200,0.021579,0,0,1000000,1200875
B0_IdealCFCFS,0.65,59,108,198,0.021693,0,0,1000000,1200903
B1_PowerOf2,0.65,11,106,196,0.017712,0,0,1000000,1200846
B1_PowerOf2,0.65,23,106,196,0.018096,0,0,1000000,1200815
B1_PowerOf2,0.65,37,106,196,0.018883,0,0,1000000,1200904
B1_PowerOf2,0.65,47,106,196,0.018294,0,0,1000000,1200921
B1_PowerOf2,0.65,59,106,196,0.017596,0,0,1000000,1200852
B2_Reactive,0.65,11,106,142,0.005282,0.0238549,0.0987922,1000000,1200845
B2_Reactive,0.65,23,106,136,0.004451,0.0245337,0.102576,1000000,1200836
B2_Reactive,0.65,37,106,142,0.005523,0.023066,0.0916312,1000000,1200816
B2_Reactive,0.65,47,106,146,0.005981,0.0240767,0.0959809,1000000,1200829
B2_Reactive,0.65,59,106,144,0.00589,0.0237841,0.096005,1000000,1200846
M0_Proactive,0.65,11,106,146,0,0.020767,0,1000000,1200849
M0_Proactive,0.65,23,106,146,0,0.0210351,0,1000000,1200801
M0_Proactive,0.65,37,106,148,0,0.0219097,0,1000000,1200837
M0_Proactive,0.65,47,106,148,0,0.0215846,3.85817e-05,1000000,1200811
M0_Proactive,0.65,59,106,148,0,0.0210012,0,1000000,1200836
B0_IdealCFCFS,0.7,11,116,204,0.036606,0,0,1000000,1200966
B0_IdealCFCFS,0.7,23,120,204,0.037781,0,0,1000000,1201054
B0_IdealCFCFS,0.7,37,118,204,0.037028,0,0,1000000,1200964
B0_IdealCFCFS,0.7,47,118,204,0.037266,0,0,1000000,1201003
B0_IdealCFCFS,0.7,59,120,204,0.037573,0,0,1000000,1201024
B1_PowerOf2,0.7,11,118,202,0.036164,0,0,1000000,1200951
B1_PowerOf2,0.7,23,116,202,0.036889,0,0,1000000,1200935
B1_PowerOf2,0.7,37,122,202,0.03834,0,0,1000000,1201047
B1_PowerOf2,0.7,47,120,202,0.037187,0,0,1000000,1201057
B1_PowerOf2,0.7,59,114,202,0.036563,0,0,1000000,1200957
