source,scenario,workload,rho,method,service_estimate_mode,migration_cost_us,w2_hot_core_count,w2_hot_dispatch_prob,target_insert_policy,metric,n,mean,median,ci95_low,ci95_high
estimator_w2,rescue_w2_estimator_class_mean,W2,0.85,M1_RescueSched,class_mean,0.5,4,0.5,append_tail,intra_move_rate,5,0.12679,0.129427,0.107372,0.146208
estimator_w2,rescue_w2_estimator_class_mean,W2,0.85,M1_RescueSched,class_mean,0.5,4,0.5,append_tail,beneficial_migration_ratio,5,0.999982,0.999981,0.999967,0.999996
estimator_w2,rescue_w2_estimator_class_mean,W2,0.85,M1_RescueSched,class_mean,0.5,4,0.5,append_tail,useless_migration_ratio,5,0,0,0,0
estimator_w2,rescue_w2_estimator_class_mean,W2,0.85,M1_RescueSched,class_mean,0.5,4,0.5,append_tail,rescue_per_migration,5,0.999982,0.999981,0.999967,0.999996
estimator_w2,rescue_w2_estimator_class_mean,W2,0.85,M1_RescueSched,class_mean,0.5,4,0.5,append_tail,predicted_target_unsafe_accept_count,5,0,0,0,0
estimator_w2,rescue_w2_estimator_class_mean,W2,0.85,M1_RescueSched,class_mean,0.5,4,0.5,append_tail,harmful_actual_count,5,0,0,0,0
estimator_w2,rescue_w2_estimator_class_mean,W2,0.85,M1_RescueSched,class_mean,0.5,4,0.5,append_tail,target_induced_miss_actual,5,0,0,0,0
estimator_w2,rescue_w2_estimator_ewma,W2,0.7,M1_RescueSched,ewma,0.5,4,0.5,append_tail,P99_us,5,2318,2220,1782,2854
estimator_w2,rescue_w2_estimator_ewma,W2,0.7,M1_RescueSched,ewma,0.5,4,0.5,append_tail,P999_us,5,4966,5370,3919,6013
estimator_w2,rescue_w2_estimator_ewma,W2,0.7,M1_RescueSched,ewma,0.5,4,0.5,append_tail,slo_violation_rate,5,0.109601,0.106947,0.096872,0.12233
estimator_w2,rescue_w2_estimator_ewma,W2,0.7,M1_RescueSched,ewma,0.5,4,0.5,append_tail,intra_move_rate,5,0.330558,0.331363,0.326345,0.334771
estimator_w2,rescue_w2_estimator_ewma,W2,0.7,M1_RescueSched,ewma,0.5,4,0.5,append_tail,beneficial_migration_ratio,5,0.999991,0.999995,0.999978,1.000005
estimator_w2,rescue_w2_estimator_ewma,W2,0.7,M1_RescueSched,ewma,0.5,4,0.5,append_tail,useless_migration_ratio,5,0,0,0,0
estimator_w2,rescue_w2_estimator_ewma,W2,0.7,M1_RescueSched,ewma,0.5,4,0.5,append_tail,rescue_per_migration,5,0.999991,0.999995,0.999978,1.000005
estimator_w2,rescue_w2_estimator_ewma,W2,0.7,M1_RescueSched,ewma,0.5,4,0.5,append_tail,predicted_target_unsafe_accept_count,5,0,0,0,0
estimator_w2,rescue_w2_estimator_ewma,W2,0.7,M1_RescueSched,ewma,0.5,4,0.5,append_tail,harmful_actual_count,5,0,0,0,0
estimator_w2,rescue_w2_estimator_ewma,W2,0.7,M1_RescueSched,ewma,0.5,4,0.5,append_tail,target_induced_miss_actual,5,0,0,0,0
estimator_w2,rescue_w2_estimator_ewma,W2,0.85,M1_RescueSched,ewma,0.5,4,0.5,append_tail,P99_us,5,10000,10000,10000,10000
estimator_w2,rescue_w2_estimator_ewma,W2,0.85,M1_RescueSched,ewma,0.5,4,0.5,append_tail,P999_us,5,10000,10000,10000,10000
estimator_w2,rescue_w2_estimator_ewma,W2,0.85,M1_RescueSched,ewma,0.5,4,0.5,append_tail,slo_violation_rate,5,0.694365,0.687816,0.651523,0.737208
estimator_w2,rescue_w2_estimator_ewma,W2,0.85,M1_RescueSched,ewma,0.5,4,0.5,append_tail,intra_move_rate,5,0.12679,0.129427,0.107372,0.146208
estimator_w2,rescue_w2_estimator_ewma,W2,0.85,M1_RescueSched,ewma,0.5,4,0.5,append_tail,beneficial_migration_ratio,5,0.999982,0.999981,0.999967,0.999996
estimator_w2,rescue_w2_estimator_ewma,W2,0.85,M1_RescueSched,ewma,0.5,4,0.5,append_tail,useless_migration_ratio,5,0,0,0,0
estimator_w2,rescue_w2_estimator_ewma,W2,0.85,M1_RescueSched,ewma,0.5,4,0.5,append_tail,rescue_per_migration,5,0.999982,0.999981,0.999967,0.999996
estimator_w2,rescue_w2_estimator_ewma,W2,0.85,M1_RescueSched,ewma,0.5,4,0.5,append_tail,predicted_target_unsafe_accept_count,5,0,0,0,0
estimator_w2,rescue_w2_estimator_ewma,W2,0.85,M1_RescueSched,ewma,0.5,4,0.5,append_tail,harmful_actual_count,5,0,0,0,0
estimator_w2,rescue_w2_estimator_ewma,W2,0.85,M1_RescueSched,ewma,0.5,4,0.5,append_tail,target_induced_miss_actual,5,0,0,0,0
estimator_w2,rescue_w2_estimator_oracle,W2,0.7,M1_RescueSched,oracle,0.5,4,0.5,append_tail,P99_us,5,2318,2220,1782,2854
estimator_w2,rescue_w2_estimator_oracle,W2,0.7,M1_RescueSched,oracle,0.5,4,0.5,append_tail,P999_us,5,4966,5370,3919,6013
estimator_w2,rescue_w2_estimator_oracle,W2,0.7,M1_RescueSched,oracle,0.5,4,0.5,append_tail,slo_violation_rate,5,0.109601,0.106947,0.096872,0.12233
